Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
chipseq,exponential,0.1,40,165,MAXMIN,350.24999999999994,14, 6, 14, 0, 3, 3, 1, 2, 2, 4, 0, 4, 6, 6, 3, 5, 0, 6, 0, 2, 2, 4, 0, 0, 0, 0, 11,{c5.2xlarge=14; c5.xlarge=6; c5a.2xlarge=14; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=3; i3.2xlarge=1; i3.large=2; i3.xlarge=2; m5.2xlarge=4; m5.large=0; m5.xlarge=4; m5a.2xlarge=6; m5a.large=6; m5a.xlarge=3; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=2; r5.xlarge=2; r5a.2xlarge=4; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=11}
chipseq,exponential,0.1,40,165,MCT,403.06,16, 7, 11, 0, 6, 2, 1, 2, 1, 4, 0, 2, 3, 4, 2, 10, 0, 7, 0, 3, 3, 1, 0, 0, 0, 0, 13,{c5.2xlarge=16; c5.xlarge=7; c5a.2xlarge=11; c5a.xlarge=0; d3.2xlarge=6; d3.xlarge=2; i3.2xlarge=1; i3.large=2; i3.xlarge=1; m5.2xlarge=4; m5.large=0; m5.xlarge=2; m5a.2xlarge=3; m5a.large=4; m5a.xlarge=2; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=3; r5.xlarge=3; r5a.2xlarge=1; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=13}
chipseq,exponential,0.1,40,165,ROUNDROBIN,824.05,3, 8, 7, 0, 2, 1, 2, 0, 1, 10, 0, 4, 8, 5, 10, 5, 0, 7, 0, 5, 2, 8, 0, 0, 0, 0, 10,{c5.2xlarge=3; c5.xlarge=8; c5a.2xlarge=7; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=1; i3.2xlarge=2; i3.large=0; i3.xlarge=1; m5.2xlarge=10; m5.large=0; m5.xlarge=4; m5a.2xlarge=8; m5a.large=5; m5a.xlarge=10; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=5; r5.xlarge=2; r5a.2xlarge=8; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=10}
chipseq,exponential,0.1,40,165,STATIC,550.73,8, 5, 14, 0, 3, 3, 3, 1, 2, 6, 0, 5, 4, 10, 2, 10, 0, 7, 0, 1, 2, 4, 0, 0, 0, 0, 8,{c5.2xlarge=8; c5.xlarge=5; c5a.2xlarge=14; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=3; i3.2xlarge=3; i3.large=1; i3.xlarge=2; m5.2xlarge=6; m5.large=0; m5.xlarge=5; m5a.2xlarge=4; m5a.large=10; m5a.xlarge=2; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=4; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=8}
chipseq,exponential,0.1,40,165,NOML,335.16999999999996,17, 6, 14, 0, 3, 2, 0, 1, 0, 4, 0, 6, 9, 8, 6, 6, 0, 4, 0, 1, 1, 4, 0, 0, 0, 0, 6,{c5.2xlarge=17; c5.xlarge=6; c5a.2xlarge=14; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=0; m5.xlarge=6; m5a.2xlarge=9; m5a.large=8; m5a.xlarge=6; m5zn.2xlarge=6; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=1; r5.xlarge=1; r5a.2xlarge=4; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=6}
chipseq,exponential,0.1,40,165,TEXTDISTANCE,566.43,13, 4, 8, 0, 2, 1, 1, 2, 3, 9, 0, 11, 5, 9, 5, 8, 0, 4, 0, 2, 4, 3, 0, 0, 0, 0, 4,{c5.2xlarge=13; c5.xlarge=4; c5a.2xlarge=8; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=1; i3.2xlarge=1; i3.large=2; i3.xlarge=3; m5.2xlarge=9; m5.large=0; m5.xlarge=11; m5a.2xlarge=5; m5a.large=9; m5a.xlarge=5; m5zn.2xlarge=8; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=3; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4}
chipseq,exponential,0.1,40,165,CRITICALPATH,335.0199999999999,17, 3, 14, 0, 4, 4, 3, 2, 2, 4, 0, 5, 2, 13, 4, 8, 0, 4, 0, 1, 2, 0, 0, 0, 0, 0, 6,{c5.2xlarge=17; c5.xlarge=3; c5a.2xlarge=14; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=4; i3.2xlarge=3; i3.large=2; i3.xlarge=2; m5.2xlarge=4; m5.large=0; m5.xlarge=5; m5a.2xlarge=2; m5a.large=13; m5a.xlarge=4; m5zn.2xlarge=8; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=6}
chipseq,exponential,0.1,40,165,CRITICALPATHREVERSE,532.9399999999999,17, 4, 15, 0, 4, 3, 2, 1, 0, 3, 0, 5, 3, 5, 2, 10, 0, 10, 0, 3, 2, 0, 0, 0, 0, 0, 9,{c5.2xlarge=17; c5.xlarge=4; c5a.2xlarge=15; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=3; i3.2xlarge=2; i3.large=1; i3.xlarge=0; m5.2xlarge=3; m5.large=0; m5.xlarge=5; m5a.2xlarge=3; m5a.large=5; m5a.xlarge=2; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=3; r5.xlarge=2; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=9}
chipseq,exponential,0.1,40,165,RESHIV2,336.06999999999994,17, 8, 15, 0, 4, 3, 2, 1, 1, 2, 0, 7, 2, 6, 2, 8, 0, 7, 0, 4, 3, 0, 0, 0, 0, 0, 6,{c5.2xlarge=17; c5.xlarge=8; c5a.2xlarge=15; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=3; i3.2xlarge=2; i3.large=1; i3.xlarge=1; m5.2xlarge=2; m5.large=0; m5.xlarge=7; m5a.2xlarge=2; m5a.large=6; m5a.xlarge=2; m5zn.2xlarge=8; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=4; r5.xlarge=3; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=6}
chipseq,exponential,0.1,40,165,RESHIV3,335.22999999999996,17, 8, 14, 0, 4, 4, 2, 1, 1, 2, 0, 6, 2, 6, 2, 8, 0, 6, 0, 4, 3, 0, 0, 0, 0, 0, 8,{c5.2xlarge=17; c5.xlarge=8; c5a.2xlarge=14; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=4; i3.2xlarge=2; i3.large=1; i3.xlarge=1; m5.2xlarge=2; m5.large=0; m5.xlarge=6; m5a.2xlarge=2; m5a.large=6; m5a.xlarge=2; m5zn.2xlarge=8; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=4; r5.xlarge=3; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=8}
chipseq,exponential,0.1,40,165,RESHIMAX,458.98,15, 8, 11, 0, 4, 3, 2, 2, 1, 2, 0, 4, 2, 8, 4, 9, 0, 5, 0, 4, 2, 0, 0, 0, 0, 0, 12,{c5.2xlarge=15; c5.xlarge=8; c5a.2xlarge=11; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=3; i3.2xlarge=2; i3.large=2; i3.xlarge=1; m5.2xlarge=2; m5.large=0; m5.xlarge=4; m5a.2xlarge=2; m5a.large=8; m5a.xlarge=4; m5zn.2xlarge=9; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=4; r5.xlarge=2; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=12}
chipseq,exponential,0.1,40,165,RESHIFCFS,461.86999999999995,20, 4, 18, 0, 4, 2, 2, 1, 1, 2, 0, 3, 1, 5, 2, 10, 0, 7, 0, 3, 1, 1, 0, 0, 0, 0, 11,{c5.2xlarge=20; c5.xlarge=4; c5a.2xlarge=18; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=2; i3.2xlarge=2; i3.large=1; i3.xlarge=1; m5.2xlarge=2; m5.large=0; m5.xlarge=3; m5a.2xlarge=1; m5a.large=5; m5a.xlarge=2; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=3; r5.xlarge=1; r5a.2xlarge=1; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=11}
