Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
chipseq,normal,0.1,40,0,MINMIN,353.63999999999993,0, 10, 14, 12, 8, 4, 1, 1, 0, 4, 2, 6, 1, 0, 2, 12, 0, 8, 0, 2, 2, 0, 3, 2, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=14; c5a.xlarge=12; d3.2xlarge=8; d3.xlarge=4; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=2; m5.xlarge=6; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=0; r5.large=2; r5.xlarge=2; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4}
chipseq,normal,0.1,40,13,RESHIV3,397.69999999999993,10, 2, 10, 0, 4, 0, 3, 2, 2, 3, 4, 3, 0, 2, 5, 5, 0, 5, 8, 8, 0, 0, 5, 5, 3, 6, 3,{c5.2xlarge=10; c5.xlarge=2; c5a.2xlarge=10; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=0; i3.2xlarge=3; i3.large=2; i3.xlarge=2; m5.2xlarge=3; m5.large=4; m5.xlarge=3; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=5; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=8; r5.large=8; r5.xlarge=0; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=5; z1d.2xlarge=3; z1d.large=6; z1d.xlarge=3}
chipseq,normal,0.1,40,13,RESHIMAX,505.09999999999997,10, 3, 6, 0, 8, 0, 3, 6, 4, 2, 4, 3, 0, 2, 4, 3, 0, 2, 9, 8, 0, 0, 4, 5, 3, 6, 3,{c5.2xlarge=10; c5.xlarge=3; c5a.2xlarge=6; c5a.xlarge=0; d3.2xlarge=8; d3.xlarge=0; i3.2xlarge=3; i3.large=6; i3.xlarge=4; m5.2xlarge=2; m5.large=4; m5.xlarge=3; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=4; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=9; r5.large=8; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=5; z1d.2xlarge=3; z1d.large=6; z1d.xlarge=3}
chipseq,normal,0.1,40,13,RESHIFCFS,369.08,12, 3, 12, 0, 4, 0, 2, 3, 2, 2, 5, 3, 0, 2, 4, 7, 0, 6, 4, 5, 0, 0, 2, 3, 5, 9, 3,{c5.2xlarge=12; c5.xlarge=3; c5a.2xlarge=12; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=0; i3.2xlarge=2; i3.large=3; i3.xlarge=2; m5.2xlarge=2; m5.large=5; m5.xlarge=3; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=4; m5zn.2xlarge=7; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=4; r5.large=5; r5.xlarge=0; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=3; z1d.2xlarge=5; z1d.large=9; z1d.xlarge=3}
chipseq,normal,0.1,40,14,MINMIN,408.2699999999999,12, 6, 12, 0, 5, 0, 3, 2, 1, 2, 2, 3, 0, 2, 5, 5, 0, 5, 6, 4, 0, 0, 3, 6, 5, 5, 4,{c5.2xlarge=12; c5.xlarge=6; c5a.2xlarge=12; c5a.xlarge=0; d3.2xlarge=5; d3.xlarge=0; i3.2xlarge=3; i3.large=2; i3.xlarge=1; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=5; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=6; r5.large=4; r5.xlarge=0; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=6; z1d.2xlarge=5; z1d.large=5; z1d.xlarge=4}
chipseq,normal,0.1,40,14,MAXMIN,490.55999999999995,4, 0, 8, 11, 2, 6, 0, 2, 1, 0, 0, 4, 2, 2, 1, 9, 6, 4, 8, 2, 0, 0, 4, 4, 0, 18, 0,{c5.2xlarge=4; c5.xlarge=0; c5a.2xlarge=8; c5a.xlarge=11; d3.2xlarge=2; d3.xlarge=6; i3.2xlarge=0; i3.large=2; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=4; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=9; m5zn.large=6; m5zn.xlarge=4; r5.2xlarge=8; r5.large=2; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=18; z1d.xlarge=0}
chipseq,normal,0.1,40,14,MCT,458.47999999999996,5, 0, 7, 7, 1, 5, 0, 2, 1, 0, 0, 3, 1, 1, 0, 12, 13, 3, 3, 1, 0, 0, 6, 1, 0, 26, 0,{c5.2xlarge=5; c5.xlarge=0; c5a.2xlarge=7; c5a.xlarge=7; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=2; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=3; m5a.2xlarge=1; m5a.large=1; m5a.xlarge=0; m5zn.2xlarge=12; m5zn.large=13; m5zn.xlarge=3; r5.2xlarge=3; r5.large=1; r5.xlarge=0; r5a.2xlarge=0; r5a.large=6; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=26; z1d.xlarge=0}
chipseq,normal,0.1,40,14,ROUNDROBIN,715.71,1, 0, 7, 2, 3, 15, 0, 2, 2, 0, 0, 3, 3, 2, 0, 6, 14, 1, 7, 1, 0, 0, 9, 6, 0, 14, 0,{c5.2xlarge=1; c5.xlarge=0; c5a.2xlarge=7; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=15; i3.2xlarge=0; i3.large=2; i3.xlarge=2; m5.2xlarge=0; m5.large=0; m5.xlarge=3; m5a.2xlarge=3; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=6; m5zn.large=14; m5zn.xlarge=1; r5.2xlarge=7; r5.large=1; r5.xlarge=0; r5a.2xlarge=0; r5a.large=9; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=14; z1d.xlarge=0}
chipseq,normal,0.1,40,14,STATIC,359.1299999999999,4, 0, 7, 7, 2, 4, 0, 1, 1, 0, 0, 4, 2, 2, 0, 12, 12, 8, 6, 1, 0, 0, 5, 1, 0, 19, 0,{c5.2xlarge=4; c5.xlarge=0; c5a.2xlarge=7; c5a.xlarge=7; d3.2xlarge=2; d3.xlarge=4; i3.2xlarge=0; i3.large=1; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=4; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=12; m5zn.large=12; m5zn.xlarge=8; r5.2xlarge=6; r5.large=1; r5.xlarge=0; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=19; z1d.xlarge=0}
chipseq,normal,0.1,40,14,NOML,336.04999999999995,7, 0, 10, 10, 1, 1, 0, 0, 0, 0, 0, 7, 4, 1, 1, 6, 5, 3, 7, 2, 0, 0, 7, 4, 0, 22, 0,{c5.2xlarge=7; c5.xlarge=0; c5a.2xlarge=10; c5a.xlarge=10; d3.2xlarge=1; d3.xlarge=1; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=0; m5.large=0; m5.xlarge=7; m5a.2xlarge=4; m5a.large=1; m5a.xlarge=1; m5zn.2xlarge=6; m5zn.large=5; m5zn.xlarge=3; r5.2xlarge=7; r5.large=2; r5.xlarge=0; r5a.2xlarge=0; r5a.large=7; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=22; z1d.xlarge=0}
chipseq,normal,0.1,40,14,TEXTDISTANCE,488.63999999999993,5, 0, 8, 8, 1, 6, 0, 1, 3, 0, 0, 12, 5, 4, 2, 10, 6, 4, 8, 1, 0, 0, 6, 4, 0, 4, 0,{c5.2xlarge=5; c5.xlarge=0; c5a.2xlarge=8; c5a.xlarge=8; d3.2xlarge=1; d3.xlarge=6; i3.2xlarge=0; i3.large=1; i3.xlarge=3; m5.2xlarge=0; m5.large=0; m5.xlarge=12; m5a.2xlarge=5; m5a.large=4; m5a.xlarge=2; m5zn.2xlarge=10; m5zn.large=6; m5zn.xlarge=4; r5.2xlarge=8; r5.large=1; r5.xlarge=0; r5a.2xlarge=0; r5a.large=6; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=0}
chipseq,normal,0.1,40,14,CRITICALPATH,448.93999999999994,4, 0, 9, 9, 2, 7, 0, 2, 2, 0, 0, 5, 1, 2, 1, 6, 10, 3, 4, 2, 0, 0, 8, 1, 0, 20, 0,{c5.2xlarge=4; c5.xlarge=0; c5a.2xlarge=9; c5a.xlarge=9; d3.2xlarge=2; d3.xlarge=7; i3.2xlarge=0; i3.large=2; i3.xlarge=2; m5.2xlarge=0; m5.large=0; m5.xlarge=5; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=6; m5zn.large=10; m5zn.xlarge=3; r5.2xlarge=4; r5.large=2; r5.xlarge=0; r5a.2xlarge=0; r5a.large=8; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=20; z1d.xlarge=0}
chipseq,normal,0.1,40,14,CRITICALPATHREVERSE,460.59999999999997,3, 0, 8, 9, 2, 5, 0, 1, 1, 0, 0, 3, 0, 1, 1, 9, 15, 6, 3, 2, 0, 0, 6, 1, 0, 23, 0,{c5.2xlarge=3; c5.xlarge=0; c5a.2xlarge=8; c5a.xlarge=9; d3.2xlarge=2; d3.xlarge=5; i3.2xlarge=0; i3.large=1; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=3; m5a.2xlarge=0; m5a.large=1; m5a.xlarge=1; m5zn.2xlarge=9; m5zn.large=15; m5zn.xlarge=6; r5.2xlarge=3; r5.large=2; r5.xlarge=0; r5a.2xlarge=0; r5a.large=6; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=23; z1d.xlarge=0}
chipseq,normal,0.1,40,14,RESHIV2,402.1799999999999,4, 0, 10, 10, 2, 7, 0, 1, 1, 0, 0, 4, 1, 1, 1, 6, 13, 2, 3, 4, 0, 0, 4, 0, 0, 24, 0,{c5.2xlarge=4; c5.xlarge=0; c5a.2xlarge=10; c5a.xlarge=10; d3.2xlarge=2; d3.xlarge=7; i3.2xlarge=0; i3.large=1; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=4; m5a.2xlarge=1; m5a.large=1; m5a.xlarge=1; m5zn.2xlarge=6; m5zn.large=13; m5zn.xlarge=2; r5.2xlarge=3; r5.large=4; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=24; z1d.xlarge=0}
chipseq,normal,0.1,40,14,RESHIV3,402.1799999999999,4, 0, 10, 10, 2, 7, 0, 1, 1, 0, 0, 4, 1, 1, 1, 6, 11, 3, 3, 4, 0, 0, 4, 0, 0, 25, 0,{c5.2xlarge=4; c5.xlarge=0; c5a.2xlarge=10; c5a.xlarge=10; d3.2xlarge=2; d3.xlarge=7; i3.2xlarge=0; i3.large=1; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=4; m5a.2xlarge=1; m5a.large=1; m5a.xlarge=1; m5zn.2xlarge=6; m5zn.large=11; m5zn.xlarge=3; r5.2xlarge=3; r5.large=4; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=25; z1d.xlarge=0}
chipseq,normal,0.1,40,14,RESHIMAX,347.5199999999999,4, 0, 8, 10, 1, 8, 0, 2, 1, 0, 0, 5, 0, 2, 1, 7, 8, 3, 3, 3, 0, 0, 4, 4, 0, 24, 0,{c5.2xlarge=4; c5.xlarge=0; c5a.2xlarge=8; c5a.xlarge=10; d3.2xlarge=1; d3.xlarge=8; i3.2xlarge=0; i3.large=2; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=5; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=7; m5zn.large=8; m5zn.xlarge=3; r5.2xlarge=3; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=24; z1d.xlarge=0}
chipseq,normal,0.1,40,14,RESHIFCFS,456.46,4, 0, 7, 10, 1, 5, 0, 1, 1, 0, 0, 3, 1, 1, 0, 7, 18, 3, 3, 1, 0, 0, 4, 1, 0, 27, 0,{c5.2xlarge=4; c5.xlarge=0; c5a.2xlarge=7; c5a.xlarge=10; d3.2xlarge=1; d3.xlarge=5; i3.2xlarge=0; i3.large=1; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=3; m5a.2xlarge=1; m5a.large=1; m5a.xlarge=0; m5zn.2xlarge=7; m5zn.large=18; m5zn.xlarge=3; r5.2xlarge=3; r5.large=1; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=27; z1d.xlarge=0}
chipseq,normal,0.1,40,15,MINMIN,410.2399999999999,4, 0, 7, 9, 1, 4, 0, 1, 1, 0, 0, 4, 0, 1, 1, 9, 13, 5, 3, 1, 0, 0, 4, 1, 0, 29, 0,{c5.2xlarge=4; c5.xlarge=0; c5a.2xlarge=7; c5a.xlarge=9; d3.2xlarge=1; d3.xlarge=4; i3.2xlarge=0; i3.large=1; i3.xlarge=1; m5.2xlarge=0; m5.large=0; m5.xlarge=4; m5a.2xlarge=0; m5a.large=1; m5a.xlarge=1; m5zn.2xlarge=9; m5zn.large=13; m5zn.xlarge=5; r5.2xlarge=3; r5.large=1; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=29; z1d.xlarge=0}
chipseq,normal,0.1,40,15,MAXMIN,528.28,5, 12, 0, 6, 0, 2, 5, 9, 0, 10, 5, 2, 0, 2, 6, 6, 4, 3, 4, 2, 2, 2, 3, 2, 4, 2, 0,{c5.2xlarge=5; c5.xlarge=12; c5a.2xlarge=0; c5a.xlarge=6; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=5; i3.large=9; i3.xlarge=0; m5.2xlarge=10; m5.large=5; m5.xlarge=2; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=6; m5zn.2xlarge=6; m5zn.large=4; m5zn.xlarge=3; r5.2xlarge=4; r5.large=2; r5.xlarge=2; r5a.2xlarge=2; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=4; z1d.large=2; z1d.xlarge=0}
chipseq,normal,0.1,40,15,MCT,415.25,6, 12, 0, 10, 0, 2, 4, 4, 0, 8, 7, 2, 0, 1, 3, 6, 8, 5, 2, 2, 1, 1, 2, 2, 6, 4, 0,{c5.2xlarge=6; c5.xlarge=12; c5a.2xlarge=0; c5a.xlarge=10; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=4; i3.large=4; i3.xlarge=0; m5.2xlarge=8; m5.large=7; m5.xlarge=2; m5a.2xlarge=0; m5a.large=1; m5a.xlarge=3; m5zn.2xlarge=6; m5zn.large=8; m5zn.xlarge=5; r5.2xlarge=2; r5.large=2; r5.xlarge=1; r5a.2xlarge=1; r5a.large=2; r5a.xlarge=2; z1d.2xlarge=6; z1d.large=4; z1d.xlarge=0}
chipseq,normal,0.1,40,15,ROUNDROBIN,817.3199999999999,2, 9, 0, 12, 0, 0, 5, 8, 0, 8, 1, 1, 0, 1, 11, 3, 1, 6, 2, 6, 6, 8, 2, 4, 1, 1, 0,{c5.2xlarge=2; c5.xlarge=9; c5a.2xlarge=0; c5a.xlarge=12; d3.2xlarge=0; d3.xlarge=0; i3.2xlarge=5; i3.large=8; i3.xlarge=0; m5.2xlarge=8; m5.large=1; m5.xlarge=1; m5a.2xlarge=0; m5a.large=1; m5a.xlarge=11; m5zn.2xlarge=3; m5zn.large=1; m5zn.xlarge=6; r5.2xlarge=2; r5.large=6; r5.xlarge=6; r5a.2xlarge=8; r5a.large=2; r5a.xlarge=4; z1d.2xlarge=1; z1d.large=1; z1d.xlarge=0}
chipseq,normal,0.1,40,15,STATIC,346.87999999999994,4, 14, 0, 10, 0, 2, 2, 8, 0, 7, 3, 3, 0, 1, 5, 5, 8, 5, 4, 2, 2, 2, 3, 1, 4, 3, 0,{c5.2xlarge=4; c5.xlarge=14; c5a.2xlarge=0; c5a.xlarge=10; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=2; i3.large=8; i3.xlarge=0; m5.2xlarge=7; m5.large=3; m5.xlarge=3; m5a.2xlarge=0; m5a.large=1; m5a.xlarge=5; m5zn.2xlarge=5; m5zn.large=8; m5zn.xlarge=5; r5.2xlarge=4; r5.large=2; r5.xlarge=2; r5a.2xlarge=2; r5a.large=3; r5a.xlarge=1; z1d.2xlarge=4; z1d.large=3; z1d.xlarge=0}
chipseq,normal,0.1,40,15,NOML,332.03999999999996,7, 15, 0, 9, 0, 2, 2, 1, 0, 12, 4, 4, 0, 1, 8, 3, 2, 2, 4, 2, 2, 6, 4, 2, 3, 3, 0,{c5.2xlarge=7; c5.xlarge=15; c5a.2xlarge=0; c5a.xlarge=9; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=2; i3.large=1; i3.xlarge=0; m5.2xlarge=12; m5.large=4; m5.xlarge=4; m5a.2xlarge=0; m5a.large=1; m5a.xlarge=8; m5zn.2xlarge=3; m5zn.large=2; m5zn.xlarge=2; r5.2xlarge=4; r5.large=2; r5.xlarge=2; r5a.2xlarge=6; r5a.large=4; r5a.xlarge=2; z1d.2xlarge=3; z1d.large=3; z1d.xlarge=0}
chipseq,normal,0.1,40,15,TEXTDISTANCE,506.18,5, 7, 0, 6, 0, 2, 1, 8, 0, 16, 8, 4, 0, 2, 6, 3, 2, 3, 6, 2, 3, 8, 2, 1, 2, 1, 0,{c5.2xlarge=5; c5.xlarge=7; c5a.2xlarge=0; c5a.xlarge=6; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=1; i3.large=8; i3.xlarge=0; m5.2xlarge=16; m5.large=8; m5.xlarge=4; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=6; m5zn.2xlarge=3; m5zn.large=2; m5zn.xlarge=3; r5.2xlarge=6; r5.large=2; r5.xlarge=3; r5a.2xlarge=8; r5a.large=2; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=1; z1d.xlarge=0}
chipseq,normal,0.1,40,15,CRITICALPATH,397.69999999999993,5, 7, 0, 10, 0, 2, 5, 6, 0, 8, 4, 2, 0, 3, 6, 5, 6, 5, 4, 4, 2, 0, 6, 2, 3, 3, 0,{c5.2xlarge=5; c5.xlarge=7; c5a.2xlarge=0; c5a.xlarge=10; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=5; i3.large=6; i3.xlarge=0; m5.2xlarge=8; m5.large=4; m5.xlarge=2; m5a.2xlarge=0; m5a.large=3; m5a.xlarge=6; m5zn.2xlarge=5; m5zn.large=6; m5zn.xlarge=5; r5.2xlarge=4; r5.large=4; r5.xlarge=2; r5a.2xlarge=0; r5a.large=6; r5a.xlarge=2; z1d.2xlarge=3; z1d.large=3; z1d.xlarge=0}
chipseq,normal,0.1,40,15,CRITICALPATHREVERSE,503.0399999999999,6, 13, 0, 12, 0, 3, 2, 3, 0, 4, 5, 3, 0, 1, 3, 4, 8, 5, 5, 2, 2, 1, 5, 1, 4, 6, 0,{c5.2xlarge=6; c5.xlarge=13; c5a.2xlarge=0; c5a.xlarge=12; d3.2xlarge=0; d3.xlarge=3; i3.2xlarge=2; i3.large=3; i3.xlarge=0; m5.2xlarge=4; m5.large=5; m5.xlarge=3; m5a.2xlarge=0; m5a.large=1; m5a.xlarge=3; m5zn.2xlarge=4; m5zn.large=8; m5zn.xlarge=5; r5.2xlarge=5; r5.large=2; r5.xlarge=2; r5a.2xlarge=1; r5a.large=5; r5a.xlarge=1; z1d.2xlarge=4; z1d.large=6; z1d.xlarge=0}
chipseq,normal,0.1,40,15,RESHIV2,397.7,5, 7, 0, 10, 0, 2, 3, 3, 0, 9, 8, 3, 0, 4, 2, 5, 6, 5, 5, 4, 2, 1, 4, 1, 3, 6, 0,{c5.2xlarge=5; c5.xlarge=7; c5a.2xlarge=0; c5a.xlarge=10; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=3; i3.large=3; i3.xlarge=0; m5.2xlarge=9; m5.large=8; m5.xlarge=3; m5a.2xlarge=0; m5a.large=4; m5a.xlarge=2; m5zn.2xlarge=5; m5zn.large=6; m5zn.xlarge=5; r5.2xlarge=5; r5.large=4; r5.xlarge=2; r5a.2xlarge=1; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=3; z1d.large=6; z1d.xlarge=0}
chipseq,normal,0.1,40,15,RESHIV3,397.7,5, 7, 0, 10, 0, 2, 4, 3, 0, 9, 8, 3, 0, 3, 3, 5, 6, 5, 5, 4, 2, 0, 4, 3, 3, 4, 0,{c5.2xlarge=5; c5.xlarge=7; c5a.2xlarge=0; c5a.xlarge=10; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=4; i3.large=3; i3.xlarge=0; m5.2xlarge=9; m5.large=8; m5.xlarge=3; m5a.2xlarge=0; m5a.large=3; m5a.xlarge=3; m5zn.2xlarge=5; m5zn.large=6; m5zn.xlarge=5; r5.2xlarge=5; r5.large=4; r5.xlarge=2; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=3; z1d.2xlarge=3; z1d.large=4; z1d.xlarge=0}
chipseq,normal,0.1,40,15,RESHIMAX,503.86999999999995,5, 10, 0, 9, 0, 4, 3, 8, 0, 7, 9, 3, 0, 2, 3, 3, 5, 2, 4, 4, 3, 0, 5, 2, 3, 4, 0,{c5.2xlarge=5; c5.xlarge=10; c5a.2xlarge=0; c5a.xlarge=9; d3.2xlarge=0; d3.xlarge=4; i3.2xlarge=3; i3.large=8; i3.xlarge=0; m5.2xlarge=7; m5.large=9; m5.xlarge=3; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=3; m5zn.2xlarge=3; m5zn.large=5; m5zn.xlarge=2; r5.2xlarge=4; r5.large=4; r5.xlarge=3; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=2; z1d.2xlarge=3; z1d.large=4; z1d.xlarge=0}
chipseq,normal,0.1,40,15,RESHIFCFS,408.26,7, 11, 0, 11, 0, 2, 2, 4, 0, 6, 6, 3, 0, 2, 3, 6, 10, 4, 3, 3, 2, 1, 3, 1, 3, 5, 0,{c5.2xlarge=7; c5.xlarge=11; c5a.2xlarge=0; c5a.xlarge=11; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=2; i3.large=4; i3.xlarge=0; m5.2xlarge=6; m5.large=6; m5.xlarge=3; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=3; m5zn.2xlarge=6; m5zn.large=10; m5zn.xlarge=4; r5.2xlarge=3; r5.large=3; r5.xlarge=2; r5a.2xlarge=1; r5a.large=3; r5a.xlarge=1; z1d.2xlarge=3; z1d.large=5; z1d.xlarge=0}
chipseq,normal,0.1,40,16,MINMIN,353.32,6, 12, 0, 12, 0, 2, 5, 3, 0, 9, 4, 2, 0, 1, 2, 4, 7, 6, 4, 2, 2, 1, 2, 2, 4, 6, 0,{c5.2xlarge=6; c5.xlarge=12; c5a.2xlarge=0; c5a.xlarge=12; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=5; i3.large=3; i3.xlarge=0; m5.2xlarge=9; m5.large=4; m5.xlarge=2; m5a.2xlarge=0; m5a.large=1; m5a.xlarge=2; m5zn.2xlarge=4; m5zn.large=7; m5zn.xlarge=6; r5.2xlarge=4; r5.large=2; r5.xlarge=2; r5a.2xlarge=1; r5a.large=2; r5a.xlarge=2; z1d.2xlarge=4; z1d.large=6; z1d.xlarge=0}
chipseq,normal,0.1,40,16,MAXMIN,486.76,8, 0, 5, 0, 5, 13, 0, 2, 0, 0, 5, 6, 2, 0, 2, 8, 7, 11, 3, 4, 1, 0, 0, 2, 0, 2, 12,{c5.2xlarge=8; c5.xlarge=0; c5a.2xlarge=5; c5a.xlarge=0; d3.2xlarge=5; d3.xlarge=13; i3.2xlarge=0; i3.large=2; i3.xlarge=0; m5.2xlarge=0; m5.large=5; m5.xlarge=6; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=8; m5zn.large=7; m5zn.xlarge=11; r5.2xlarge=3; r5.large=4; r5.xlarge=1; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=2; z1d.xlarge=12}
chipseq,normal,0.1,40,16,MCT,455.4599999999999,14, 0, 4, 0, 3, 11, 1, 1, 0, 0, 1, 3, 1, 0, 1, 10, 15, 15, 2, 2, 1, 0, 0, 1, 0, 3, 9,{c5.2xlarge=14; c5.xlarge=0; c5a.2xlarge=4; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=11; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=10; m5zn.large=15; m5zn.xlarge=15; r5.2xlarge=2; r5.large=2; r5.xlarge=1; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=3; z1d.xlarge=9}
chipseq,normal,0.1,40,16,ROUNDROBIN,559.3299999999999,10, 0, 1, 0, 10, 9, 2, 1, 0, 0, 4, 12, 6, 0, 6, 5, 3, 12, 7, 0, 2, 0, 0, 0, 0, 3, 5,{c5.2xlarge=10; c5.xlarge=0; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=10; d3.xlarge=9; i3.2xlarge=2; i3.large=1; i3.xlarge=0; m5.2xlarge=0; m5.large=4; m5.xlarge=12; m5a.2xlarge=6; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=5; m5zn.large=3; m5zn.xlarge=12; r5.2xlarge=7; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=3; z1d.xlarge=5}
chipseq,normal,0.1,40,16,STATIC,346.25,9, 0, 3, 0, 4, 13, 0, 2, 0, 0, 1, 3, 1, 0, 2, 6, 11, 25, 3, 1, 3, 0, 0, 0, 0, 3, 8,{c5.2xlarge=9; c5.xlarge=0; c5a.2xlarge=3; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=13; i3.2xlarge=0; i3.large=2; i3.xlarge=0; m5.2xlarge=0; m5.large=1; m5.xlarge=3; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=6; m5zn.large=11; m5zn.xlarge=25; r5.2xlarge=3; r5.large=1; r5.xlarge=3; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=3; z1d.xlarge=8}
