Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
chipseq,normal,0.0,40,91,RESHIV2,346.15999999999997,10, 6, 0, 12, 8, 3, 0, 3, 3, 2, 4, 16, 0, 0, 1, 9, 0, 4, 2, 0, 0, 0, 4, 1, 0, 8, 2,{c5.2xlarge=10; c5.xlarge=6; c5a.2xlarge=0; c5a.xlarge=12; d3.2xlarge=8; d3.xlarge=3; i3.2xlarge=0; i3.large=3; i3.xlarge=3; m5.2xlarge=2; m5.large=4; m5.xlarge=16; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=9; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=2; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=2}
chipseq,normal,0.0,40,91,RESHIV3,346.15999999999997,10, 6, 0, 12, 8, 3, 0, 3, 4, 2, 4, 15, 0, 0, 1, 9, 0, 4, 1, 0, 0, 0, 4, 2, 0, 8, 2,{c5.2xlarge=10; c5.xlarge=6; c5a.2xlarge=0; c5a.xlarge=12; d3.2xlarge=8; d3.xlarge=3; i3.2xlarge=0; i3.large=3; i3.xlarge=4; m5.2xlarge=2; m5.large=4; m5.xlarge=15; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=9; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=1; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=2}
chipseq,normal,0.0,40,91,RESHIMAX,359.85999999999996,8, 12, 0, 10, 8, 4, 0, 3, 0, 2, 6, 16, 1, 0, 1, 7, 0, 2, 1, 0, 0, 0, 2, 5, 0, 7, 3,{c5.2xlarge=8; c5.xlarge=12; c5a.2xlarge=0; c5a.xlarge=10; d3.2xlarge=8; d3.xlarge=4; i3.2xlarge=0; i3.large=3; i3.xlarge=0; m5.2xlarge=2; m5.large=6; m5.xlarge=16; m5a.2xlarge=1; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=7; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=1; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=7; z1d.xlarge=3}
chipseq,normal,0.0,40,91,RESHIFCFS,458.3499999999999,12, 10, 0, 13, 5, 2, 0, 3, 2, 2, 4, 12, 0, 0, 1, 8, 0, 4, 2, 0, 0, 0, 3, 1, 0, 12, 2,{c5.2xlarge=12; c5.xlarge=10; c5a.2xlarge=0; c5a.xlarge=13; d3.2xlarge=5; d3.xlarge=2; i3.2xlarge=0; i3.large=3; i3.xlarge=2; m5.2xlarge=2; m5.large=4; m5.xlarge=12; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=1; m5zn.2xlarge=8; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=2; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=12; z1d.xlarge=2}
chipseq,normal,0.0,40,92,MINMIN,353.62999999999994,11, 8, 0, 12, 8, 2, 0, 3, 2, 4, 2, 9, 0, 0, 0, 10, 0, 7, 2, 0, 0, 0, 2, 2, 0, 11, 3,{c5.2xlarge=11; c5.xlarge=8; c5a.2xlarge=0; c5a.xlarge=12; d3.2xlarge=8; d3.xlarge=2; i3.2xlarge=0; i3.large=3; i3.xlarge=2; m5.2xlarge=4; m5.large=2; m5.xlarge=9; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=2; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=11; z1d.xlarge=3}
chipseq,normal,0.0,40,92,MAXMIN,447.76999999999987,4, 7, 5, 4, 5, 0, 2, 2, 4, 2, 2, 6, 0, 0, 0, 21, 4, 13, 3, 0, 3, 0, 0, 4, 0, 2, 5,{c5.2xlarge=4; c5.xlarge=7; c5a.2xlarge=5; c5a.xlarge=4; d3.2xlarge=5; d3.xlarge=0; i3.2xlarge=2; i3.large=2; i3.xlarge=4; m5.2xlarge=2; m5.large=2; m5.xlarge=6; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=21; m5zn.large=4; m5zn.xlarge=13; r5.2xlarge=3; r5.large=0; r5.xlarge=3; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=2; z1d.xlarge=5}
chipseq,normal,0.0,40,92,MCT,353.84,4, 6, 5, 4, 6, 0, 2, 1, 2, 1, 1, 4, 0, 0, 0, 26, 12, 12, 1, 0, 1, 0, 0, 1, 0, 4, 5,{c5.2xlarge=4; c5.xlarge=6; c5a.2xlarge=5; c5a.xlarge=4; d3.2xlarge=6; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=2; m5.2xlarge=1; m5.large=1; m5.xlarge=4; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=26; m5zn.large=12; m5zn.xlarge=12; r5.2xlarge=1; r5.large=0; r5.xlarge=1; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=5}
chipseq,normal,0.0,40,92,ROUNDROBIN,566.7499999999999,2, 14, 0, 1, 19, 0, 3, 4, 4, 4, 6, 5, 0, 0, 0, 6, 3, 13, 0, 0, 2, 0, 0, 8, 0, 1, 3,{c5.2xlarge=2; c5.xlarge=14; c5a.2xlarge=0; c5a.xlarge=1; d3.2xlarge=19; d3.xlarge=0; i3.2xlarge=3; i3.large=4; i3.xlarge=4; m5.2xlarge=4; m5.large=6; m5.xlarge=5; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=6; m5zn.large=3; m5zn.xlarge=13; r5.2xlarge=0; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=1; z1d.xlarge=3}
chipseq,normal,0.0,40,92,STATIC,349.13,4, 9, 7, 7, 9, 0, 2, 1, 3, 1, 1, 3, 0, 0, 0, 23, 10, 8, 1, 0, 2, 0, 0, 2, 0, 2, 3,{c5.2xlarge=4; c5.xlarge=9; c5a.2xlarge=7; c5a.xlarge=7; d3.2xlarge=9; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=1; m5.large=1; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=23; m5zn.large=10; m5zn.xlarge=8; r5.2xlarge=1; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=2; z1d.xlarge=3}
chipseq,normal,0.0,40,92,NOML,332.2,7, 15, 4, 5, 5, 0, 3, 2, 0, 3, 2, 6, 0, 0, 0, 15, 4, 11, 1, 0, 1, 0, 0, 5, 0, 3, 6,{c5.2xlarge=7; c5.xlarge=15; c5a.2xlarge=4; c5a.xlarge=5; d3.2xlarge=5; d3.xlarge=0; i3.2xlarge=3; i3.large=2; i3.xlarge=0; m5.2xlarge=3; m5.large=2; m5.xlarge=6; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=15; m5zn.large=4; m5zn.xlarge=11; r5.2xlarge=1; r5.large=0; r5.xlarge=1; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=3; z1d.xlarge=6}
