Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
viralrecon,exponential,0.05,40,107,CRITICALPATH,527.55,11, 24, 11, 0, 3, 9, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 63, 0, 9, 2, 1, 0, 1, 0, 12, 13, 42,{c5.2xlarge=11; c5.xlarge=24; c5a.2xlarge=11; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=9; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=3; m5.large=0; m5.xlarge=0; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=63; m5zn.xlarge=0; r5.2xlarge=9; r5.large=2; r5.xlarge=1; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=12; z1d.large=13; z1d.xlarge=42}
viralrecon,exponential,0.05,40,107,CRITICALPATHREVERSE,392.26999999999987,39, 14, 49, 0, 6, 9, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 47, 0, 7, 4, 1, 0, 0, 0, 2, 12, 12,{c5.2xlarge=39; c5.xlarge=14; c5a.2xlarge=49; c5a.xlarge=0; d3.2xlarge=6; d3.xlarge=9; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=3; m5.large=0; m5.xlarge=0; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=47; m5zn.xlarge=0; r5.2xlarge=7; r5.large=4; r5.xlarge=1; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=2; z1d.large=12; z1d.xlarge=12}
viralrecon,exponential,0.05,40,107,RESHIV2,386.2599999999998,26, 22, 41, 0, 5, 11, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 40, 0, 8, 7, 2, 0, 0, 0, 3, 13, 22,{c5.2xlarge=26; c5.xlarge=22; c5a.2xlarge=41; c5a.xlarge=0; d3.2xlarge=5; d3.xlarge=11; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=4; m5.large=0; m5.xlarge=0; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=40; m5zn.xlarge=0; r5.2xlarge=8; r5.large=7; r5.xlarge=2; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=3; z1d.large=13; z1d.xlarge=22}
viralrecon,exponential,0.05,40,107,RESHIV3,386.25999999999993,28, 19, 30, 0, 6, 8, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 52, 0, 10, 7, 3, 0, 0, 0, 7, 11, 19,{c5.2xlarge=28; c5.xlarge=19; c5a.2xlarge=30; c5a.xlarge=0; d3.2xlarge=6; d3.xlarge=8; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=4; m5.large=0; m5.xlarge=0; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=52; m5zn.xlarge=0; r5.2xlarge=10; r5.large=7; r5.xlarge=3; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=7; z1d.large=11; z1d.xlarge=19}
viralrecon,exponential,0.05,40,107,RESHIMAX,558.0799999999999,23, 17, 28, 0, 5, 15, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 36, 0, 13, 4, 1, 0, 0, 0, 14, 13, 32,{c5.2xlarge=23; c5.xlarge=17; c5a.2xlarge=28; c5a.xlarge=0; d3.2xlarge=5; d3.xlarge=15; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=3; m5.large=0; m5.xlarge=0; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=36; m5zn.xlarge=0; r5.2xlarge=13; r5.large=4; r5.xlarge=1; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=14; z1d.large=13; z1d.xlarge=32}
viralrecon,exponential,0.05,40,107,RESHIFCFS,387.29999999999995,39, 10, 44, 0, 4, 8, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 55, 0, 4, 2, 1, 0, 0, 0, 7, 15, 14,{c5.2xlarge=39; c5.xlarge=10; c5a.2xlarge=44; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=8; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=2; m5.large=0; m5.xlarge=0; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=55; m5zn.xlarge=0; r5.2xlarge=4; r5.large=2; r5.xlarge=1; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=7; z1d.large=15; z1d.xlarge=14}
viralrecon,exponential,0.05,40,108,MINMIN,589.2099999999999,14, 7, 18, 0, 7, 4, 1, 0, 0, 3, 0, 0, 2, 6, 15, 0, 21, 0, 24, 6, 5, 0, 2, 10, 3, 16, 42,{c5.2xlarge=14; c5.xlarge=7; c5a.2xlarge=18; c5a.xlarge=0; d3.2xlarge=7; d3.xlarge=4; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=3; m5.large=0; m5.xlarge=0; m5a.2xlarge=2; m5a.large=6; m5a.xlarge=15; m5zn.2xlarge=0; m5zn.large=21; m5zn.xlarge=0; r5.2xlarge=24; r5.large=6; r5.xlarge=5; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=10; z1d.2xlarge=3; z1d.large=16; z1d.xlarge=42}
viralrecon,exponential,0.05,40,108,MAXMIN,574.68,5, 10, 16, 9, 12, 2, 2, 2, 8, 6, 0, 7, 4, 0, 0, 6, 0, 20, 0, 7, 23, 2, 7, 8, 2, 26, 22,{c5.2xlarge=5; c5.xlarge=10; c5a.2xlarge=16; c5a.xlarge=9; d3.2xlarge=12; d3.xlarge=2; i3.2xlarge=2; i3.large=2; i3.xlarge=8; m5.2xlarge=6; m5.large=0; m5.xlarge=7; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=6; m5zn.large=0; m5zn.xlarge=20; r5.2xlarge=0; r5.large=7; r5.xlarge=23; r5a.2xlarge=2; r5a.large=7; r5a.xlarge=8; z1d.2xlarge=2; z1d.large=26; z1d.xlarge=22}
viralrecon,exponential,0.05,40,108,MCT,588.37,4, 11, 16, 7, 14, 2, 0, 1, 4, 5, 0, 4, 3, 0, 0, 16, 0, 10, 0, 8, 36, 0, 4, 3, 4, 37, 17,{c5.2xlarge=4; c5.xlarge=11; c5a.2xlarge=16; c5a.xlarge=7; d3.2xlarge=14; d3.xlarge=2; i3.2xlarge=0; i3.large=1; i3.xlarge=4; m5.2xlarge=5; m5.large=0; m5.xlarge=4; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=16; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=8; r5.xlarge=36; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=3; z1d.2xlarge=4; z1d.large=37; z1d.xlarge=17}
viralrecon,exponential,0.05,40,108,ROUNDROBIN,597.7099999999998,0, 0, 9, 0, 17, 0, 6, 2, 18, 2, 0, 3, 0, 0, 0, 18, 0, 11, 0, 10, 45, 1, 8, 3, 0, 29, 24,{c5.2xlarge=0; c5.xlarge=0; c5a.2xlarge=9; c5a.xlarge=0; d3.2xlarge=17; d3.xlarge=0; i3.2xlarge=6; i3.large=2; i3.xlarge=18; m5.2xlarge=2; m5.large=0; m5.xlarge=3; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=18; m5zn.large=0; m5zn.xlarge=11; r5.2xlarge=0; r5.large=10; r5.xlarge=45; r5a.2xlarge=1; r5a.large=8; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=29; z1d.xlarge=24}
viralrecon,exponential,0.05,40,108,STATIC,705.5399999999997,4, 5, 8, 12, 2, 1, 1, 0, 6, 4, 0, 6, 3, 0, 0, 11, 0, 19, 0, 4, 58, 0, 2, 0, 4, 41, 15,{c5.2xlarge=4; c5.xlarge=5; c5a.2xlarge=8; c5a.xlarge=12; d3.2xlarge=2; d3.xlarge=1; i3.2xlarge=1; i3.large=0; i3.xlarge=6; m5.2xlarge=4; m5.large=0; m5.xlarge=6; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=11; m5zn.large=0; m5zn.xlarge=19; r5.2xlarge=0; r5.large=4; r5.xlarge=58; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=0; z1d.2xlarge=4; z1d.large=41; z1d.xlarge=15}
viralrecon,exponential,0.05,40,108,NOML,563.03,10, 18, 20, 17, 1, 0, 0, 0, 0, 31, 0, 19, 18, 0, 0, 5, 0, 10, 0, 15, 8, 2, 2, 0, 4, 16, 9,{c5.2xlarge=10; c5.xlarge=18; c5a.2xlarge=20; c5a.xlarge=17; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=31; m5.large=0; m5.xlarge=19; m5a.2xlarge=18; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=0; r5.large=15; r5.xlarge=8; r5a.2xlarge=2; r5a.large=2; r5a.xlarge=0; z1d.2xlarge=4; z1d.large=16; z1d.xlarge=9}
