Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
chipseq,normal,0.1,40,122,RESHIV3,448.2699999999999,9, 0, 4, 4, 0, 2, 5, 3, 1, 2, 6, 5, 1, 2, 0, 8, 7, 3, 0, 0, 4, 0, 1, 2, 16, 9, 4,{c5.2xlarge=9; c5.xlarge=0; c5a.2xlarge=4; c5a.xlarge=4; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=5; i3.large=3; i3.xlarge=1; m5.2xlarge=2; m5.large=6; m5.xlarge=5; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=8; m5zn.large=7; m5zn.xlarge=3; r5.2xlarge=0; r5.large=0; r5.xlarge=4; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=2; z1d.2xlarge=16; z1d.large=9; z1d.xlarge=4}
chipseq,normal,0.1,40,122,RESHIMAX,410.27,7, 0, 3, 3, 0, 2, 2, 7, 1, 3, 4, 6, 2, 4, 2, 7, 5, 2, 0, 0, 1, 0, 1, 6, 17, 5, 8,{c5.2xlarge=7; c5.xlarge=0; c5a.2xlarge=3; c5a.xlarge=3; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=2; i3.large=7; i3.xlarge=1; m5.2xlarge=3; m5.large=4; m5.xlarge=6; m5a.2xlarge=2; m5a.large=4; m5a.xlarge=2; m5zn.2xlarge=7; m5zn.large=5; m5zn.xlarge=2; r5.2xlarge=0; r5.large=0; r5.xlarge=1; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=6; z1d.2xlarge=17; z1d.large=5; z1d.xlarge=8}
chipseq,normal,0.1,40,122,RESHIFCFS,409.91,8, 0, 4, 5, 0, 3, 4, 4, 1, 2, 4, 5, 0, 2, 2, 8, 7, 3, 0, 0, 2, 0, 3, 5, 14, 8, 4,{c5.2xlarge=8; c5.xlarge=0; c5a.2xlarge=4; c5a.xlarge=5; d3.2xlarge=0; d3.xlarge=3; i3.2xlarge=4; i3.large=4; i3.xlarge=1; m5.2xlarge=2; m5.large=4; m5.xlarge=5; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=2; m5zn.2xlarge=8; m5zn.large=7; m5zn.xlarge=3; r5.2xlarge=0; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=5; z1d.2xlarge=14; z1d.large=8; z1d.xlarge=4}
chipseq,normal,0.1,40,123,MINMIN,403.4399999999999,10, 0, 5, 5, 0, 2, 2, 3, 1, 3, 4, 3, 0, 2, 0, 10, 7, 5, 0, 0, 2, 0, 2, 1, 18, 8, 5,{c5.2xlarge=10; c5.xlarge=0; c5a.2xlarge=5; c5a.xlarge=5; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=2; i3.large=3; i3.xlarge=1; m5.2xlarge=3; m5.large=4; m5.xlarge=3; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=10; m5zn.large=7; m5zn.xlarge=5; r5.2xlarge=0; r5.large=0; r5.xlarge=2; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=1; z1d.2xlarge=18; z1d.large=8; z1d.xlarge=5}
chipseq,normal,0.1,40,123,MAXMIN,531.4899999999999,9, 6, 12, 10, 0, 2, 1, 2, 3, 0, 5, 5, 1, 2, 1, 5, 4, 0, 5, 4, 10, 1, 2, 2, 4, 0, 2,{c5.2xlarge=9; c5.xlarge=6; c5a.2xlarge=12; c5a.xlarge=10; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=1; i3.large=2; i3.xlarge=3; m5.2xlarge=0; m5.large=5; m5.xlarge=5; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=5; m5zn.large=4; m5zn.xlarge=0; r5.2xlarge=5; r5.large=4; r5.xlarge=10; r5a.2xlarge=1; r5a.large=2; r5a.xlarge=2; z1d.2xlarge=4; z1d.large=0; z1d.xlarge=2}
chipseq,normal,0.1,40,123,MCT,353.12999999999994,11, 8, 17, 12, 0, 2, 1, 1, 2, 0, 5, 3, 0, 1, 1, 7, 6, 0, 2, 4, 4, 0, 2, 1, 6, 0, 2,{c5.2xlarge=11; c5.xlarge=8; c5a.2xlarge=17; c5a.xlarge=12; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=0; m5.large=5; m5.xlarge=3; m5a.2xlarge=0; m5a.large=1; m5a.xlarge=1; m5zn.2xlarge=7; m5zn.large=6; m5zn.xlarge=0; r5.2xlarge=2; r5.large=4; r5.xlarge=4; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=1; z1d.2xlarge=6; z1d.large=0; z1d.xlarge=2}
chipseq,normal,0.1,40,123,ROUNDROBIN,734.43,7, 9, 10, 8, 0, 1, 1, 8, 1, 0, 4, 3, 4, 0, 3, 1, 2, 0, 3, 9, 9, 6, 5, 0, 2, 0, 2,{c5.2xlarge=7; c5.xlarge=9; c5a.2xlarge=10; c5a.xlarge=8; d3.2xlarge=0; d3.xlarge=1; i3.2xlarge=1; i3.large=8; i3.xlarge=1; m5.2xlarge=0; m5.large=4; m5.xlarge=3; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=1; m5zn.large=2; m5zn.xlarge=0; r5.2xlarge=3; r5.large=9; r5.xlarge=9; r5a.2xlarge=6; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=2; z1d.large=0; z1d.xlarge=2}
chipseq,normal,0.1,40,123,STATIC,345.96999999999997,9, 4, 21, 12, 0, 1, 0, 4, 1, 0, 3, 4, 1, 2, 1, 5, 7, 0, 4, 2, 7, 1, 2, 1, 4, 0, 2,{c5.2xlarge=9; c5.xlarge=4; c5a.2xlarge=21; c5a.xlarge=12; d3.2xlarge=0; d3.xlarge=1; i3.2xlarge=0; i3.large=4; i3.xlarge=1; m5.2xlarge=0; m5.large=3; m5.xlarge=4; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=5; m5zn.large=7; m5zn.xlarge=0; r5.2xlarge=4; r5.large=2; r5.xlarge=7; r5a.2xlarge=1; r5a.large=2; r5a.xlarge=1; z1d.2xlarge=4; z1d.large=0; z1d.xlarge=2}
chipseq,normal,0.1,40,123,NOML,489.46999999999986,7, 4, 14, 12, 0, 2, 2, 2, 2, 0, 4, 6, 3, 1, 7, 3, 2, 0, 5, 5, 3, 1, 6, 3, 2, 0, 2,{c5.2xlarge=7; c5.xlarge=4; c5a.2xlarge=14; c5a.xlarge=12; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=2; i3.large=2; i3.xlarge=2; m5.2xlarge=0; m5.large=4; m5.xlarge=6; m5a.2xlarge=3; m5a.large=1; m5a.xlarge=7; m5zn.2xlarge=3; m5zn.large=2; m5zn.xlarge=0; r5.2xlarge=5; r5.large=5; r5.xlarge=3; r5a.2xlarge=1; r5a.large=6; r5a.xlarge=3; z1d.2xlarge=2; z1d.large=0; z1d.xlarge=2}
chipseq,normal,0.1,40,123,CUSTOMCLUSTERNOML,487.5899999999999,8, 4, 13, 11, 0, 2, 2, 1, 3, 0, 2, 3, 1, 2, 5, 5, 4, 0, 7, 6, 7, 1, 3, 1, 5, 0, 2,{c5.2xlarge=8; c5.xlarge=4; c5a.2xlarge=13; c5a.xlarge=11; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=0; m5.large=2; m5.xlarge=3; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=5; m5zn.2xlarge=5; m5zn.large=4; m5zn.xlarge=0; r5.2xlarge=7; r5.large=6; r5.xlarge=7; r5a.2xlarge=1; r5a.large=3; r5a.xlarge=1; z1d.2xlarge=5; z1d.large=0; z1d.xlarge=2}
