Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
viralrecon,exponential,0.2,40,91,MINMIN,594.0599999999998,27, 7, 14, 12, 1, 3, 0, 2, 0, 3, 4, 0, 0, 2, 1, 40, 10, 8, 0, 8, 17, 0, 3, 11, 0, 4, 28,{c5.2xlarge=27; c5.xlarge=7; c5a.2xlarge=14; c5a.xlarge=12; d3.2xlarge=1; d3.xlarge=3; i3.2xlarge=0; i3.large=2; i3.xlarge=0; m5.2xlarge=3; m5.large=4; m5.xlarge=0; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=40; m5zn.large=10; m5zn.xlarge=8; r5.2xlarge=0; r5.large=8; r5.xlarge=17; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=11; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=28}
viralrecon,exponential,0.2,40,91,MAXMIN,565.1199999999999,16, 18, 0, 20, 14, 2, 0, 15, 9, 5, 3, 20, 5, 0, 4, 13, 0, 7, 5, 0, 0, 0, 6, 21, 0, 19, 3,{c5.2xlarge=16; c5.xlarge=18; c5a.2xlarge=0; c5a.xlarge=20; d3.2xlarge=14; d3.xlarge=2; i3.2xlarge=0; i3.large=15; i3.xlarge=9; m5.2xlarge=5; m5.large=3; m5.xlarge=20; m5a.2xlarge=5; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=5; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=6; r5a.xlarge=21; z1d.2xlarge=0; z1d.large=19; z1d.xlarge=3}
viralrecon,exponential,0.2,40,91,MCT,650.2099999999999,16, 16, 0, 18, 5, 2, 0, 9, 4, 6, 5, 17, 3, 0, 2, 20, 0, 7, 6, 0, 0, 0, 6, 27, 0, 26, 10,{c5.2xlarge=16; c5.xlarge=16; c5a.2xlarge=0; c5a.xlarge=18; d3.2xlarge=5; d3.xlarge=2; i3.2xlarge=0; i3.large=9; i3.xlarge=4; m5.2xlarge=6; m5.large=5; m5.xlarge=17; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=20; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=6; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=6; r5a.xlarge=27; z1d.2xlarge=0; z1d.large=26; z1d.xlarge=10}
viralrecon,exponential,0.2,40,91,ROUNDROBIN,569.6799999999998,8, 18, 0, 4, 14, 1, 0, 53, 9, 1, 0, 10, 2, 0, 16, 5, 0, 3, 0, 0, 0, 0, 5, 32, 0, 25, 0,{c5.2xlarge=8; c5.xlarge=18; c5a.2xlarge=0; c5a.xlarge=4; d3.2xlarge=14; d3.xlarge=1; i3.2xlarge=0; i3.large=53; i3.xlarge=9; m5.2xlarge=1; m5.large=0; m5.xlarge=10; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=16; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=5; r5a.xlarge=32; z1d.2xlarge=0; z1d.large=25; z1d.xlarge=0}
viralrecon,exponential,0.2,40,91,STATIC,609.4199999999995,20, 10, 0, 21, 5, 1, 0, 35, 3, 1, 3, 11, 3, 0, 0, 11, 0, 12, 4, 0, 0, 0, 4, 12, 0, 42, 7,{c5.2xlarge=20; c5.xlarge=10; c5a.2xlarge=0; c5a.xlarge=21; d3.2xlarge=5; d3.xlarge=1; i3.2xlarge=0; i3.large=35; i3.xlarge=3; m5.2xlarge=1; m5.large=3; m5.xlarge=11; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=11; m5zn.large=0; m5zn.xlarge=12; r5.2xlarge=4; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=12; z1d.2xlarge=0; z1d.large=42; z1d.xlarge=7}
viralrecon,exponential,0.2,40,91,NOML,362.33999999999986,17, 19, 0, 11, 8, 7, 0, 11, 9, 10, 8, 16, 7, 0, 8, 13, 0, 8, 9, 0, 0, 0, 9, 12, 0, 15, 8,{c5.2xlarge=17; c5.xlarge=19; c5a.2xlarge=0; c5a.xlarge=11; d3.2xlarge=8; d3.xlarge=7; i3.2xlarge=0; i3.large=11; i3.xlarge=9; m5.2xlarge=10; m5.large=8; m5.xlarge=16; m5a.2xlarge=7; m5a.large=0; m5a.xlarge=8; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=8; r5.2xlarge=9; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=9; r5a.xlarge=12; z1d.2xlarge=0; z1d.large=15; z1d.xlarge=8}
viralrecon,exponential,0.2,40,91,CUSTOMCLUSTERNOML,338.95999999999987,11, 22, 0, 14, 17, 11, 0, 10, 8, 12, 6, 14, 8, 0, 7, 11, 0, 9, 7, 0, 0, 0, 9, 11, 0, 11, 7,{c5.2xlarge=11; c5.xlarge=22; c5a.2xlarge=0; c5a.xlarge=14; d3.2xlarge=17; d3.xlarge=11; i3.2xlarge=0; i3.large=10; i3.xlarge=8; m5.2xlarge=12; m5.large=6; m5.xlarge=14; m5a.2xlarge=8; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=11; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=7; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=9; r5a.xlarge=11; z1d.2xlarge=0; z1d.large=11; z1d.xlarge=7}
viralrecon,exponential,0.2,40,91,TEXTDISTANCE,548.2899999999998,15, 10, 0, 9, 9, 11, 0, 18, 5, 18, 10, 23, 12, 0, 6, 8, 0, 10, 8, 0, 0, 0, 10, 7, 0, 8, 8,{c5.2xlarge=15; c5.xlarge=10; c5a.2xlarge=0; c5a.xlarge=9; d3.2xlarge=9; d3.xlarge=11; i3.2xlarge=0; i3.large=18; i3.xlarge=5; m5.2xlarge=18; m5.large=10; m5.xlarge=23; m5a.2xlarge=12; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=8; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=8; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=10; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=8; z1d.xlarge=8}
viralrecon,exponential,0.2,40,91,CRITICALPATH,324.3599999999999,11, 17, 0, 8, 16, 8, 0, 3, 9, 12, 10, 15, 10, 0, 3, 13, 0, 6, 13, 0, 0, 0, 15, 5, 0, 22, 10,{c5.2xlarge=11; c5.xlarge=17; c5a.2xlarge=0; c5a.xlarge=8; d3.2xlarge=16; d3.xlarge=8; i3.2xlarge=0; i3.large=3; i3.xlarge=9; m5.2xlarge=12; m5.large=10; m5.xlarge=15; m5a.2xlarge=10; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=13; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=15; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=22; z1d.xlarge=10}
viralrecon,exponential,0.2,40,91,CRITICALPATHREVERSE,449.9699999999999,22, 15, 0, 11, 14, 7, 0, 6, 11, 10, 5, 13, 9, 0, 7, 15, 0, 7, 7, 0, 0, 0, 8, 7, 0, 18, 13,{c5.2xlarge=22; c5.xlarge=15; c5a.2xlarge=0; c5a.xlarge=11; d3.2xlarge=14; d3.xlarge=7; i3.2xlarge=0; i3.large=6; i3.xlarge=11; m5.2xlarge=10; m5.large=5; m5.xlarge=13; m5a.2xlarge=9; m5a.large=0; m5a.xlarge=7; m5zn.2xlarge=15; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=7; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=8; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=18; z1d.xlarge=13}
