Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
chipseq,exponential,0.15,40,20,MAXMIN,448.85999999999996,16, 13, 4, 4, 0, 4, 0, 2, 3, 0, 2, 9, 2, 2, 2, 8, 4, 2, 0, 1, 0, 0, 1, 1, 5, 10, 3,{c5.2xlarge=16; c5.xlarge=13; c5a.2xlarge=4; c5a.xlarge=4; d3.2xlarge=0; d3.xlarge=4; i3.2xlarge=0; i3.large=2; i3.xlarge=3; m5.2xlarge=0; m5.large=2; m5.xlarge=9; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=2; m5zn.2xlarge=8; m5zn.large=4; m5zn.xlarge=2; r5.2xlarge=0; r5.large=1; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=5; z1d.large=10; z1d.xlarge=3}
chipseq,exponential,0.15,40,20,MCT,355.18,13, 16, 4, 3, 0, 3, 0, 1, 3, 0, 1, 7, 0, 2, 1, 13, 8, 4, 0, 1, 0, 0, 1, 1, 3, 10, 3,{c5.2xlarge=13; c5.xlarge=16; c5a.2xlarge=4; c5a.xlarge=3; d3.2xlarge=0; d3.xlarge=3; i3.2xlarge=0; i3.large=1; i3.xlarge=3; m5.2xlarge=0; m5.large=1; m5.xlarge=7; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=13; m5zn.large=8; m5zn.xlarge=4; r5.2xlarge=0; r5.large=1; r5.xlarge=0; r5a.2xlarge=0; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=3; z1d.large=10; z1d.xlarge=3}
chipseq,exponential,0.15,40,20,ROUNDROBIN,751.6599999999999,8, 4, 7, 6, 0, 5, 0, 0, 2, 0, 1, 16, 4, 2, 6, 4, 2, 4, 0, 1, 0, 8, 2, 4, 1, 8, 3,{c5.2xlarge=8; c5.xlarge=4; c5a.2xlarge=7; c5a.xlarge=6; d3.2xlarge=0; d3.xlarge=5; i3.2xlarge=0; i3.large=0; i3.xlarge=2; m5.2xlarge=0; m5.large=1; m5.xlarge=16; m5a.2xlarge=4; m5a.large=2; m5a.xlarge=6; m5zn.2xlarge=4; m5zn.large=2; m5zn.xlarge=4; r5.2xlarge=0; r5.large=1; r5.xlarge=0; r5a.2xlarge=8; r5a.large=2; r5a.xlarge=4; z1d.2xlarge=1; z1d.large=8; z1d.xlarge=3}
chipseq,exponential,0.15,40,20,STATIC,333.08,13, 10, 4, 4, 0, 5, 0, 1, 1, 0, 1, 15, 2, 2, 1, 8, 4, 6, 0, 1, 0, 2, 1, 1, 3, 10, 3,{c5.2xlarge=13; c5.xlarge=10; c5a.2xlarge=4; c5a.xlarge=4; d3.2xlarge=0; d3.xlarge=5; i3.2xlarge=0; i3.large=1; i3.xlarge=1; m5.2xlarge=0; m5.large=1; m5.xlarge=15; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=8; m5zn.large=4; m5zn.xlarge=6; r5.2xlarge=0; r5.large=1; r5.xlarge=0; r5a.2xlarge=2; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=3; z1d.large=10; z1d.xlarge=3}
chipseq,exponential,0.15,40,20,NOML,450.5799999999999,14, 9, 4, 4, 0, 3, 0, 1, 3, 0, 2, 14, 6, 4, 5, 4, 3, 1, 0, 2, 0, 2, 4, 2, 3, 6, 2,{c5.2xlarge=14; c5.xlarge=9; c5a.2xlarge=4; c5a.xlarge=4; d3.2xlarge=0; d3.xlarge=3; i3.2xlarge=0; i3.large=1; i3.xlarge=3; m5.2xlarge=0; m5.large=2; m5.xlarge=14; m5a.2xlarge=6; m5a.large=4; m5a.xlarge=5; m5zn.2xlarge=4; m5zn.large=3; m5zn.xlarge=1; r5.2xlarge=0; r5.large=2; r5.xlarge=0; r5a.2xlarge=2; r5a.large=4; r5a.xlarge=2; z1d.2xlarge=3; z1d.large=6; z1d.xlarge=2}
chipseq,exponential,0.15,40,20,CUSTOMCLUSTERNOML,450.15999999999997,13, 7, 2, 5, 0, 4, 0, 4, 4, 0, 2, 11, 3, 2, 2, 8, 4, 3, 0, 4, 0, 1, 2, 2, 4, 9, 2,{c5.2xlarge=13; c5.xlarge=7; c5a.2xlarge=2; c5a.xlarge=5; d3.2xlarge=0; d3.xlarge=4; i3.2xlarge=0; i3.large=4; i3.xlarge=4; m5.2xlarge=0; m5.large=2; m5.xlarge=11; m5a.2xlarge=3; m5a.large=2; m5a.xlarge=2; m5zn.2xlarge=8; m5zn.large=4; m5zn.xlarge=3; r5.2xlarge=0; r5.large=4; r5.xlarge=0; r5a.2xlarge=1; r5a.large=2; r5a.xlarge=2; z1d.2xlarge=4; z1d.large=9; z1d.xlarge=2}
chipseq,exponential,0.15,40,20,TEXTDISTANCE,354.13,12, 11, 5, 3, 0, 3, 0, 2, 1, 0, 3, 20, 4, 4, 3, 6, 4, 2, 0, 2, 0, 2, 2, 1, 2, 4, 2,{c5.2xlarge=12; c5.xlarge=11; c5a.2xlarge=5; c5a.xlarge=3; d3.2xlarge=0; d3.xlarge=3; i3.2xlarge=0; i3.large=2; i3.xlarge=1; m5.2xlarge=0; m5.large=3; m5.xlarge=20; m5a.2xlarge=4; m5a.large=4; m5a.xlarge=3; m5zn.2xlarge=6; m5zn.large=4; m5zn.xlarge=2; r5.2xlarge=0; r5.large=2; r5.xlarge=0; r5a.2xlarge=2; r5a.large=2; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=4; z1d.xlarge=2}
chipseq,exponential,0.15,40,20,CRITICALPATH,519.92,12, 10, 4, 4, 0, 6, 0, 2, 5, 0, 2, 7, 2, 5, 2, 6, 6, 3, 0, 4, 0, 0, 4, 3, 3, 6, 2,{c5.2xlarge=12; c5.xlarge=10; c5a.2xlarge=4; c5a.xlarge=4; d3.2xlarge=0; d3.xlarge=6; i3.2xlarge=0; i3.large=2; i3.xlarge=5; m5.2xlarge=0; m5.large=2; m5.xlarge=7; m5a.2xlarge=2; m5a.large=5; m5a.xlarge=2; m5zn.2xlarge=6; m5zn.large=6; m5zn.xlarge=3; r5.2xlarge=0; r5.large=4; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=3; z1d.2xlarge=3; z1d.large=6; z1d.xlarge=2}
chipseq,exponential,0.15,40,20,CRITICALPATHREVERSE,532.72,12, 9, 6, 4, 0, 4, 0, 1, 0, 0, 2, 6, 3, 3, 4, 8, 6, 5, 0, 2, 0, 0, 2, 2, 3, 13, 3,{c5.2xlarge=12; c5.xlarge=9; c5a.2xlarge=6; c5a.xlarge=4; d3.2xlarge=0; d3.xlarge=4; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=0; m5.large=2; m5.xlarge=6; m5a.2xlarge=3; m5a.large=3; m5a.xlarge=4; m5zn.2xlarge=8; m5zn.large=6; m5zn.xlarge=5; r5.2xlarge=0; r5.large=2; r5.xlarge=0; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=2; z1d.2xlarge=3; z1d.large=13; z1d.xlarge=3}
chipseq,exponential,0.15,40,20,RESHIV2,548.9999999999999,12, 15, 4, 4, 0, 5, 0, 1, 5, 0, 2, 7, 0, 2, 2, 6, 6, 3, 0, 3, 0, 2, 1, 1, 2, 13, 2,{c5.2xlarge=12; c5.xlarge=15; c5a.2xlarge=4; c5a.xlarge=4; d3.2xlarge=0; d3.xlarge=5; i3.2xlarge=0; i3.large=1; i3.xlarge=5; m5.2xlarge=0; m5.large=2; m5.xlarge=7; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=2; m5zn.2xlarge=6; m5zn.large=6; m5zn.xlarge=3; r5.2xlarge=0; r5.large=3; r5.xlarge=0; r5a.2xlarge=2; r5a.large=1; r5a.xlarge=1; z1d.2xlarge=2; z1d.large=13; z1d.xlarge=2}
