wfName,taskName,rank
nfcore/chipseq:1.2.2,FASTQC,15
nfcore/chipseq:1.2.2,FASTQC,16
nfcore/chipseq:1.2.2,FASTQC,10
nfcore/chipseq:1.2.2,FASTQC,9
nfcore/chipseq:1.2.2,FASTQC,8
nfcore/chipseq:1.2.2,FASTQC,13
nfcore/chipseq:1.2.2,FASTQC,11
nfcore/chipseq:1.2.2,FASTQC,12
nfcore/chipseq:1.2.2,FASTQC,7
nfcore/chipseq:1.2.2,FASTQC,5
nfcore/chipseq:1.2.2,FASTQC,6
nfcore/chipseq:1.2.2,FASTQC,23
nfcore/chipseq:1.2.2,FASTQC,24
nfcore/chipseq:1.2.2,FASTQC,25
nfcore/chipseq:1.2.2,FASTQC,26
nfcore/chipseq:1.2.2,FASTQC,27
nfcore/chipseq:1.2.2,MACS2,1
nfcore/chipseq:1.2.2,MACS2,3
nfcore/chipseq:1.2.2,MACS2,4
nfcore/chipseq:1.2.2,MACS2,2
nfcore/chipseq:1.2.2,MACS2,11
nfcore/chipseq:1.2.2,MACS2,8
nfcore/chipseq:1.2.2,MACS2,9
nfcore/chipseq:1.2.2,MACS2,13
nfcore/chipseq:1.2.2,MACS2,10
nfcore/chipseq:1.2.2,MACS2,12
nfcore/chipseq:1.2.2,MACS2,7
nfcore/chipseq:1.2.2,MACS2,5
nfcore/chipseq:1.2.2,MACS2,6
nfcore/chipseq:1.2.2,MACS2,21
nfcore/chipseq:1.2.2,MACS2,17
nfcore/chipseq:1.2.2,MACS2,18
nfcore/chipseq:1.2.2,MACS2,22
nfcore/chipseq:1.2.2,MACS2,19
nfcore/chipseq:1.2.2,MACS2,20
nfcore/chipseq:1.2.2,MACS2,16
nfcore/chipseq:1.2.2,MACS2,14
nfcore/chipseq:1.2.2,MACS2,15
nfcore/chipseq:1.2.2,MACS2,26
nfcore/chipseq:1.2.2,MACS2,23
nfcore/chipseq:1.2.2,MACS2,27
nfcore/chipseq:1.2.2,MACS2,24
nfcore/chipseq:1.2.2,MACS2,25
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,3
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,4
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,2
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,1
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,11
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,7
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,9
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,13
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,10
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,12
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,8
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,5
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,6
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,20
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,15
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,19
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,22
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,18
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,21
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,17
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,14
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,16
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,25
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,23
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,27
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,24
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,26
nfcore/chipseq:1.2.2,MACS2_QC,2
nfcore/chipseq:1.2.2,MACS2_QC,4
nfcore/chipseq:1.2.2,MACS2_QC,3
nfcore/chipseq:1.2.2,MACS2_QC,1
nfcore/chipseq:1.2.2,MACS2_QC,12
nfcore/chipseq:1.2.2,MACS2_QC,7
nfcore/chipseq:1.2.2,MACS2_QC,8
nfcore/chipseq:1.2.2,MACS2_QC,13
nfcore/chipseq:1.2.2,MACS2_QC,10
nfcore/chipseq:1.2.2,MACS2_QC,11
